cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_scaler__with_centering,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
41,0.9291713911260118,No,0.9345005244246927,0.9357464960440464,1.5582506656646729,0.9301111190675886,1.1861897425654835,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.1115931750282624e-05,False,4.296420706978499e-05,0.0035,1,if_binary,39,1
50,0.9276469202112867,No,0.9319631517467313,0.9337155339745541,1.0372505187988281,0.9298187882063031,0.24818995091234342,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.6698666742744587e-05,True,4.026588310172301e-05,0.0035,1,if_binary,47,2
58,0.9244596792175879,No,0.9257907933970061,0.9280368313792208,1.040903425216675,0.9281766019127915,0.12855869660776842,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.899395467149149e-06,True,9.992760047032429e-06,0.003,1,if_binary,53,3
60,0.9221567084894652,No,0.926482723510161,0.9267417293529603,1.0548933029174805,0.9264475126424138,0.10428663977627449,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.274869455295215e-05,True,3.907491116535351e-05,0.0035,1,if_binary,60,4
59,0.9223634223336171,No,0.9254052732503082,0.9258555140169079,1.5361465454101562,0.9273537860131251,0.10059368770083954,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.647685075720096e-05,True,1.2046944978568694e-05,0.003,1,if_binary,57,5
30,0.930050469038173,Yes,0.9397486318156896,0.9368878725638065,21.011085653305052,0.9312230084004165,2.962833798506319,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.5847101210439087e-06,True,6.11303812998509e-05,0.004,2,if_binary,28,6
33,0.9296318010112603,Yes,0.939945369202645,0.9368878725638065,18.83964786529541,0.9306200704541643,2.666020367873237,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.823475224675185e-06,True,1.5881974266285583e-05,0.004,2,if_binary,33,7
1,0.9357195281337658,Yes,0.9375427674922296,0.936211941797984,18.70382523536682,0.9356502800895521,163.83103546269135,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.9210748185657136e-06,False,4.837041353569163e-05,0.0035,2,if_binary,1,8
26,0.9305713701784197,Yes,0.939856681702717,0.9360378317358369,19.496826791763304,0.9316454996552779,10.318516538569916,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.638630972397277e-05,True,6.924922277102765e-05,0.004,2,if_binary,27,9
27,0.9305668695907624,Yes,0.939856681702717,0.9360378317358369,17.351201629638673,0.9316464522874082,11.508307053668872,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.901821268272622e-06,True,6.207125444778842e-05,0.004,2,if_binary,26,10
18,0.9319341027422221,Yes,0.9375405752771365,0.9359894821102952,18.53616452217102,0.9330225305675164,0.1268720968583856,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.83692718068222e-05,False,7.556091254901509e-05,0.003,2,if_binary,18,11
10,0.9329112627477603,Yes,0.9387853439811853,0.9357886194936287,21.01132740974426,0.9336515943272964,21.74547098137361,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0994335574766196e-06,False,4.0297231649399374e-05,0.003,2,if_binary,10,12
14,0.9325500609455531,Yes,0.938588202404965,0.9357886194936287,17.323552703857423,0.9332721056700277,15.496700584188615,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0235832435175112e-06,False,1.2086063237940449e-05,0.003,2,if_binary,13,13
8,0.9331530511212552,Yes,0.9407302732450987,0.9356833904698209,19.920144271850585,0.9338896820953654,3.0698103342717804,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0629918194937633e-06,True,8.148944228602178e-05,0.003,2,if_binary,8,14
34,0.9296292933992951,Yes,0.9396602544897692,0.9356833904698209,17.441726303100587,0.9308436149812314,1.6605059934678534,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.050140722244876e-06,False,1.4475649490701941e-05,0.004,2,if_binary,29,15
19,0.9315903193842816,Yes,0.9378831338819179,0.9353204276639585,18.58387985229492,0.9326070653292691,0.1134375716046229,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0572705046816881e-05,True,1.3697484941122855e-05,0.0035,2,if_binary,21,16
3,0.9341481124198386,Yes,0.9396397348196878,0.9352589712216652,18.65224599838257,0.9340883783161026,4.759698086713732,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.4639143878281135e-05,True,2.758682179124141e-05,0.0035,2,if_binary,6,17
14,0.9325500609455531,Yes,0.9386432924867878,0.9351913328667516,19.06212019920349,0.9332721056700277,11.416311570442623,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.589824181495648e-06,False,1.4603197563016889e-05,0.003,2,if_binary,13,18
13,0.9326149842524607,Yes,0.9384216352923234,0.9350782071678524,19.155230140686037,0.9327893740991284,1.039723630033092,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.2164113425393944e-05,True,1.4472832691259518e-05,0.0035,2,if_binary,19,19
21,0.9312690247825384,Yes,0.9392120914530824,0.9350144370436105,18.26555914878845,0.9326596228107469,15.381756551300374,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.201672054372529e-06,False,9.119970980133567e-06,0.004,2,if_binary,20,20
2,0.9348612384295064,Yes,0.9390697431600917,0.934895278364061,18.801178407669067,0.9356381385189445,0.7003082044925322,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.2046674587990318e-06,True,1.7204834110024147e-05,0.003,2,if_binary,2,21
6,0.9333938326528235,Yes,0.938107065244135,0.9348354456553124,18.970528221130373,0.9343046547414197,148.88730997782568,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.887285358835575e-05,True,1.0954359341395251e-05,0.0025,2,if_binary,4,22
29,0.930095897732518,Yes,0.9352775335271389,0.934710149206047,1.682387351989746,0.9308207437944784,10.00672702872112,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.121996518301615e-05,False,6.989035540584847e-06,0.0035,1,if_binary,31,23
38,0.929296956391276,Yes,0.9358738688096041,0.934710149206047,1.6032273292541503,0.930064577704089,3.985091323402469,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.425895370948679e-05,False,1.3266887495808096e-05,0.0035,1,if_binary,40,24
43,0.9290926622589117,Yes,0.9358738688096041,0.934710149206047,1.4618786811828612,0.9298810117806122,4.127606076533043,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.360540102485374e-05,False,2.7731023935427526e-05,0.0035,1,if_binary,45,25
44,0.9288825390509325,Yes,0.9358738688096041,0.934710149206047,1.1416028499603272,0.92968368794957,4.983142493044817,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.530485212183146e-05,True,6.0038461240944076e-05,0.0035,1,if_binary,48,26
